"variable","manifest_role","in_glss","in_dhs"
"survey","id",1,1
"hh_key","id",1,1
"cluster_id","id",1,1
"HID","id",1,0
"household_number","id",1,0
"interview_year","id",1,1
"household_weight","weight_fitting",1,1
"weight_norm_survey","weight_diagnostics_only",1,1
"region10","predictor_core",1,1
"urban","predictor_core",1,1
"hh_size","predictor_core",1,1
"head_age","predictor_core",1,1
"head_female","predictor_core",1,1
"has_electricity","predictor_sensitivity_calibration_target",1,1
"water_source_cat","predictor_core",1,1
"cooking_fuel_cat","predictor_core",1,1
"roof_material_cat","predictor_core",1,1
"sleeping_rooms","predictor_core",1,1
"toilet_type_screen","predictor_sensitivity",1,1
"floor_material_screen","predictor_core",1,1
"floor_non_earth","predictor_core",1,1
"wall_finished_masonry","predictor_default_off",1,1
"head_educ_cat","predictor_sensitivity",1,1
"toilet_type_cat","audit_only",1,1
"floor_material_cat","audit_only",1,1
"wall_material_cat","audit_only",1,1
"poverty_status_code","target_derive_only_companion",1,1
"poverty_status","target_derive_only",1,1
"poor_or_very_poor","target_derive_only_companion",1,1
"welfare","target_active",1,1
"totexpeqsc_real","target_available",1,1
"fdexpeqsc_real","target_available",1,1
"nfexpeqsc_real","target_available",1,1
"TOTFOOD","target_extension_companion",1,1
"TOTHLTH","target_available",1,1
"TOTEDUC","target_extension_companion",1,1
"HHEXP_N","target_extension_companion",1,1
"members_total","predictor_core",1,1
"usual_residents","alias_do_not_model",1,1
"female_members","predictor_core",1,1
"children_under5","predictor_core",1,1
"children_under15","predictor_core",1,1
"adults_15plus","predictor_core",1,1
"elders_65plus","predictor_core",1,1
"share_adults_ever_school","glss_internal_only",1,1
"any_adult_secondary_plus","glss_internal_only",1,1
"head_educ_qual_code","glss_internal_only",1,1
"head_educ_qual_label","glss_internal_only",1,1
"nhis_any_member_registered","target_active_sensitivity",1,1
"nhis_head_registered","nhis_diagnostic_companion",1,1
"nhis_share_members_registered","nhis_diagnostic_companion",1,1
"nhis_any_member_ever_registered","nhis_diagnostic_companion",1,1
"nhis_n_members_covered","nhis_diagnostic_companion",1,1
"nhis_n_members_known","nhis_diagnostic_companion",1,1
"nhis_any_missing","nhis_diagnostic_companion",1,1
"household_id","id",0,1
"wealth_index","dhs_benchmark_only",0,1
"wealth_index_label","dhs_benchmark_only",0,1
"wealth_score","dhs_benchmark_only",0,1
"pr_members","alias_do_not_model",0,1
"nhis_dontknow","nhis_diagnostic_companion",0,1
